GISJOIN,YEAR,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,COUNTYA,CTY_SUBA,DIVISIONA,MSA_CMSAA,PLACE,PLACEA,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,ANPSADPI,ESP001,ESP002,ESP003,ESP004,ESP005
"G05020200","1990",,,,,,,,,,"99999",,,"7",,"Dyer town","20200",,"3","Arkansas","05",,,,"Dyer town",118,71,6,1,0
"G05020230","1990",,,,,,,,,,"99999",,,"7",,"Dyess town","20230",,"3","Arkansas","05",,,,"Dyess town",82,72,9,0,0
"G05020320","1990",,,,,,,,,,"99999",,,"7",,"Earle city","20320",,"3","Arkansas","05",,,,"Earle city",655,383,93,28,8
"G05020440","1990",,,,,,,,,,"99999",,,"7",,"East Camden town","20440",,"3","Arkansas","05",,,,"East Camden town",156,125,8,0,0
"G05020830","1990",,,,,,,,,,"99999",,,"7",,"Edmondson town","20830",,"3","Arkansas","05",,,,"Edmondson town",30,32,9,4,2
"G05020920","1990",,,,,,,,,,"99999",,,"7",,"Egypt town","20920",,"3","Arkansas","05",,,,"Egypt town",34,14,0,1,0
"G05020950","1990",,,,,,,,,,"99999",,,"7",,"Elaine city","20950",,"3","Arkansas","05",,,,"Elaine city",188,81,29,4,1
"G05021070","1990",,,,,,,,,,"99999",,,"7",,"El Dorado city","21070",,"3","Arkansas","05",,,,"El Dorado city",6204,2567,283,87,17
"G05021190","1990",,,,,,,,,,"99999",,,"7",,"Elkins city","21190",,"3","Arkansas","05",,,,"Elkins city",170,90,5,2,0
"G05021430","1990",,,,,,,,,,"99999",,,"7",,"Elm Springs town","21430",,"3","Arkansas","05",,,,"Elm Springs town",209,111,12,0,0
"G05021580","1990",,,,,,,,,,"99999",,,"7",,"Emerson town","21580",,"3","Arkansas","05",,,,"Emerson town",72,43,2,1,0
"G05021610","1990",,,,,,,,,,"99999",,,"7",,"Emmet city","21610",,"3","Arkansas","05",,,,"Emmet city",116,52,8,1,0
"G05021730","1990",,,,,,,,,,"99999",,,"7",,"England city","21730",,"3","Arkansas","05",,,,"England city",726,408,48,8,4
"G05021820","1990",,,,,,,,,,"99999",,,"7",,"Enola town","21820",,"3","Arkansas","05",,,,"Enola town",35,24,2,1,0
"G05022180","1990",,,,,,,,,,"99999",,,"7",,"Eudora city","22180",,"3","Arkansas","05",,,,"Eudora city",681,386,68,15,5
"G05022240","1990",,,,,,,,,,"99999",,,"7",,"Eureka Springs city","22240",,"3","Arkansas","05",,,,"Eureka Springs city",721,157,10,3,0
"G05022360","1990",,,,,,,,,,"99999",,,"7",,"Evening Shade town","22360",,"3","Arkansas","05",,,,"Evening Shade town",104,32,3,2,0
"G05022450","1990",,,,,,,,,,"99999",,,"7",,"Everton town","22450",,"3","Arkansas","05",,,,"Everton town",23,23,3,0,0
"G05022660","1990",,,,,,,,,,"99999",,,"7",,"Fairfield Bay CDP","22660",,"3","Arkansas","05",,,,"Fairfield Bay CDP",1010,133,6,1,0
"G05023140","1990",,,,,,,,,,"99999",,,"7",,"Fargo town","23140",,"3","Arkansas","05",,,,"Fargo town",18,18,5,2,0
"G05023170","1990",,,,,,,,,,"99999",,,"7",,"Farmington city","23170",,"3","Arkansas","05",,,,"Farmington city",303,189,12,1,0
"G05023290","1990",,,,,,,,,,"99999",,,"7",,"Fayetteville city","23290",,"3","Arkansas","05",,,,"Fayetteville city",11566,4899,314,100,15
"G05023320","1990",,,,,,,,,,"99999",,,"7",,"Felsenthal town","23320",,"3","Arkansas","05",,,,"Felsenthal town",35,12,0,0,0
"G05023680","1990",,,,,,,,,,"99999",,,"7",,"Fifty-Six city","23680",,"3","Arkansas","05",,,,"Fifty-Six city",43,21,1,0,0
"G05023800","1990",,,,,,,,,,"99999",,,"7",,"Fisher town","23800",,"3","Arkansas","05",,,,"Fisher town",66,35,0,0,0
"G05024010","1990",,,,,,,,,,"99999",,,"7",,"Flippin city","24010",,"3","Arkansas","05",,,,"Flippin city",297,139,5,1,0
"G05024220","1990",,,,,,,,,,"99999",,,"7",,"Fordyce city","24220",,"3","Arkansas","05",,,,"Fordyce city",1156,536,54,16,9
"G05024250","1990",,,,,,,,,,"99999",,,"7",,"Foreman city","24250",,"3","Arkansas","05",,,,"Foreman city",321,169,12,2,2
"G05024430","1990",,,,,,,,,,"99999",,,"7",,"Forrest City city","24430",,"3","Arkansas","05",,,,"Forrest City city",2838,1571,251,77,19
"G05024550","1990",,,,,,,,,,"99999",,,"7",,"Fort Smith city","24550",,"3","Arkansas","05",,,,"Fort Smith city",19909,8737,659,243,98
"G05024640","1990",,,,,,,,,,"99999",,,"7",,"Fouke town","24640",,"3","Arkansas","05",,,,"Fouke town",113,95,12,4,5
"G05024670","1990",,,,,,,,,,"99999",,,"7",,"Fountain Hill town","24670",,"3","Arkansas","05",,,,"Fountain Hill town",52,28,1,0,0
"G05024760","1990",,,,,,,,,,"99999",,,"7",,"Fourche town","24760",,"3","Arkansas","05",,,,"Fourche town",9,10,0,0,0
"G05025030","1990",,,,,,,,,,"99999",,,"7",,"Franklin town","25030",,"3","Arkansas","05",,,,"Franklin town",50,26,2,0,0
"G05025060","1990",,,,,,,,,,"99999",,,"7",,"Fredonia (Biscoe) town","25060",,"3","Arkansas","05",,,,"Fredonia (Biscoe) town",93,59,11,2,0
"G05025180","1990",,,,,,,,,,"99999",,,"7",,"Friendship town","25180",,"3","Arkansas","05",,,,"Friendship town",41,17,2,0,0
"G05025360","1990",,,,,,,,,,"99999",,,"7",,"Fulton city","25360",,"3","Arkansas","05",,,,"Fulton city",61,29,8,1,0
"G05025750","1990",,,,,,,,,,"99999",,,"7",,"Garfield town","25750",,"3","Arkansas","05",,,,"Garfield town",77,39,4,3,0
"G05025780","1990",,,,,,,,,,"99999",,,"7",,"Garland town","25780",,"3","Arkansas","05",,,,"Garland town",92,50,8,1,0
"G05025900","1990",,,,,,,,,,"99999",,,"7",,"Garner town","25900",,"3","Arkansas","05",,,,"Garner town",41,27,3,0,0
"G05026050","1990",,,,,,,,,,"99999",,,"7",,"Gassville city","26050",,"3","Arkansas","05",,,,"Gassville city",286,145,10,3,1
"G05026110","1990",,,,,,,,,,"99999",,,"7",,"Gateway town","26110",,"3","Arkansas","05",,,,"Gateway town",22,9,0,0,0
"G05026290","1990",,,,,,,,,,"99999",,,"7",,"Gentry city","26290",,"3","Arkansas","05",,,,"Gentry city",370,259,14,4,0
"G05026440","1990",,,,,,,,,,"99999",,,"7",,"Georgetown town","26440",,"3","Arkansas","05",,,,"Georgetown town",26,18,3,0,0
"G05026710","1990",,,,,,,,,,"99999",,,"7",,"Gibson CDP","26710",,"3","Arkansas","05",,,,"Gibson CDP",768,606,22,2,1
"G05026800","1990",,,,,,,,,,"99999",,,"7",,"Gilbert town","26800",,"3","Arkansas","05",,,,"Gilbert town",14,7,0,0,0
"G05026980","1990",,,,,,,,,,"99999",,,"7",,"Gillett city","26980",,"3","Arkansas","05",,,,"Gillett city",243,96,10,4,1
"G05027010","1990",,,,,,,,,,"99999",,,"7",,"Gillham town","27010",,"3","Arkansas","05",,,,"Gillham town",42,28,3,1,1
"G05027040","1990",,,,,,,,,,"99999",,,"7",,"Gilmore town","27040",,"3","Arkansas","05",,,,"Gilmore town",63,34,9,4,1
"G05027310","1990",,,,,,,,,,"99999",,,"7",,"Glenwood town","27310",,"3","Arkansas","05",,,,"Glenwood town",380,161,10,2,1
"G05027670","1990",,,,,,,,,,"99999",,,"7",,"Goshen town","27670",,"3","Arkansas","05",,,,"Goshen town",128,76,5,2,0
"G05027700","1990",,,,,,,,,,"99999",,,"7",,"Gosnell city","27700",,"3","Arkansas","05",,,,"Gosnell city",578,656,51,7,2
"G05027730","1990",,,,,,,,,,"99999",,,"7",,"Gould city","27730",,"3","Arkansas","05",,,,"Gould city",328,155,42,14,2
"G05027790","1990",,,,,,,,,,"99999",,,"7",,"Grady city","27790",,"3","Arkansas","05",,,,"Grady city",122,59,16,4,1
"G05027970","1990",,,,,,,,,,"99999",,,"7",,"Grannis town","27970",,"3","Arkansas","05",,,,"Grannis town",99,73,10,0,3
"G05028270","1990",,,,,,,,,,"99999",,,"7",,"Gravel Ridge CDP","28270",,"3","Arkansas","05",,,,"Gravel Ridge CDP",674,636,30,8,1
"G05028360","1990",,,,,,,,,,"99999",,,"7",,"Gravette city","28360",,"3","Arkansas","05",,,,"Gravette city",382,160,16,1,1
"G05028510","1990",,,,,,,,,,"99999",,,"7",,"Greenbrier city","28510",,"3","Arkansas","05",,,,"Greenbrier city",440,296,25,2,1
"G05028600","1990",,,,,,,,,,"99999",,,"7",,"Green Forest city","28600",,"3","Arkansas","05",,,,"Green Forest city",538,289,11,4,0
"G05028660","1990",,,,,,,,,,"99999",,,"7",,"Greenland town","28660",,"3","Arkansas","05",,,,"Greenland town",155,103,10,3,0
"G05028720","1990",,,,,,,,,,"99999",,,"7",,"Greenway town","28720",,"3","Arkansas","05",,,,"Greenway town",55,24,5,0,0
"G05028780","1990",,,,,,,,,,"99999",,,"7",,"Greenwood city","28780",,"3","Arkansas","05",,,,"Greenwood city",790,594,20,2,1
"G05028810","1990",,,,,,,,,,"99999",,,"7",,"Greers Ferry city","28810",,"3","Arkansas","05",,,,"Greers Ferry city",223,79,4,1,1
"G05028990","1990",,,,,,,,,,"99999",,,"7",,"Griffithville town","28990",,"3","Arkansas","05",,,,"Griffithville town",63,29,2,1,0
"G05029020","1990",,,,,,,,,,"99999",,,"7",,"Grubbs town","29020",,"3","Arkansas","05",,,,"Grubbs town",127,78,3,3,0
"G05029080","1990",,,,,,,,,,"99999",,,"7",,"Guion town","29080",,"3","Arkansas","05",,,,"Guion town",35,11,0,0,0
"G05029140","1990",,,,,,,,,,"99999",,,"7",,"Gum Springs town","29140",,"3","Arkansas","05",,,,"Gum Springs town",37,20,2,0,0
"G05029200","1990",,,,,,,,,,"99999",,,"7",,"Gurdon city","29200",,"3","Arkansas","05",,,,"Gurdon city",544,277,18,1,1
"G05029230","1990",,,,,,,,,,"99999",,,"7",,"Guy town","29230",,"3","Arkansas","05",,,,"Guy town",51,36,0,1,0
"G05029290","1990",,,,,,,,,,"99999",,,"7",,"Hackett city","29290",,"3","Arkansas","05",,,,"Hackett city",116,72,6,0,0
"G05029500","1990",,,,,,,,,,"99999",,,"7",,"Hamburg city","29500",,"3","Arkansas","05",,,,"Hamburg city",752,362,36,13,4
"G05029650","1990",,,,,,,,,,"99999",,,"7",,"Hampton city","29650",,"3","Arkansas","05",,,,"Hampton city",358,197,21,6,1
"G05029920","1990",,,,,,,,,,"99999",,,"7",,"Hardy city","29920",,"3","Arkansas","05",,,,"Hardy city",179,59,5,0,2
"G05030310","1990",,,,,,,,,,"99999",,,"7",,"Harrell city","30310",,"3","Arkansas","05",,,,"Harrell city",60,27,4,3,0
"G05030400","1990",,,,,,,,,,"99999",,,"7",,"Harrisburg city","30400",,"3","Arkansas","05",,,,"Harrisburg city",494,240,16,2,1
"G05030460","1990",,,,,,,,,,"99999",,,"7",,"Harrison city","30460",,"3","Arkansas","05",,,,"Harrison city",3054,1061,60,13,1
"G05030490","1990",,,,,,,,,,"99999",,,"7",,"Hartford city","30490",,"3","Arkansas","05",,,,"Hartford city",171,90,14,2,0
"G05030520","1990",,,,,,,,,,"99999",,,"7",,"Hartman city","30520",,"3","Arkansas","05",,,,"Hartman city",106,78,2,2,0
"G05030640","1990",,,,,,,,,,"99999",,,"7",,"Haskell city","30640",,"3","Arkansas","05",,,,"Haskell city",225,217,16,2,0
"G05030700","1990",,,,,,,,,,"99999",,,"7",,"Hatfield town","30700",,"3","Arkansas","05",,,,"Hatfield town",109,49,7,3,0
"G05030790","1990",,,,,,,,,,"99999",,,"7",,"Havana city","30790",,"3","Arkansas","05",,,,"Havana city",92,49,3,1,0
"G05030880","1990",,,,,,,,,,"99999",,,"7",,"Haynes town","30880",,"3","Arkansas","05",,,,"Haynes town",34,21,11,2,3
"G05030940","1990",,,,,,,,,,"99999",,,"7",,"Hazen city","30940",,"3","Arkansas","05",,,,"Hazen city",405,209,15,7,1
"G05031090","1990",,,,,,,,,,"99999",,,"7",,"Heber Springs city","31090",,"3","Arkansas","05",,,,"Heber Springs city",1752,598,26,10,1
"G05031150","1990",,,,,,,,,,"99999",,,"7",,"Hector town","31150",,"3","Arkansas","05",,,,"Hector town",109,63,3,3,0
"G05031180","1990",,,,,,,,,,"99999",,,"7",,"Helena city","31180",,"3","Arkansas","05",,,,"Helena city",1694,797,163,47,10
"G05031540","1990",,,,,,,,,,"99999",,,"7",,"Hermitage town","31540",,"3","Arkansas","05",,,,"Hermitage town",115,111,8,8,1
"G05031900","1990",,,,,,,,,,"99999",,,"7",,"Hickory Ridge city","31900",,"3","Arkansas","05",,,,"Hickory Ridge city",103,63,2,2,0
"G05032080","1990",,,,,,,,,,"99999",,,"7",,"Higden town","32080",,"3","Arkansas","05",,,,"Higden town",36,6,0,0,0
"G05032140","1990",,,,,,,,,,"99999",,,"7",,"Higginson town","32140",,"3","Arkansas","05",,,,"Higginson town",65,33,5,0,0
"G05032200","1990",,,,,,,,,,"99999",,,"7",,"Highfill town","32200",,"3","Arkansas","05",,,,"Highfill town",26,8,1,0,0
"G05032470","1990",,,,,,,,,,"99999",,,"7",,"Hindsville town","32470",,"3","Arkansas","05",,,,"Hindsville town",17,5,1,2,0
"G05032800","1990",,,,,,,,,,"99999",,,"7",,"Holly Grove town","32800",,"3","Arkansas","05",,,,"Holly Grove town",184,80,10,2,1
"G05033190","1990",,,,,,,,,,"99999",,,"7",,"Hope city","33190",,"3","Arkansas","05",,,,"Hope city",2388,1166,131,32,10
"G05033310","1990",,,,,,,,,,"99999",,,"7",,"Horatio city","33310",,"3","Arkansas","05",,,,"Horatio city",230,86,13,1,0
"G05033370","1990",,,,,,,,,,"99999",,,"7",,"Horseshoe Bend city","33370",,"3","Arkansas","05",,,,"Horseshoe Bend city",991,122,7,5,0
"G05033375","1990",,,,,,,,,,"99999",,,"7",,"Horseshoe Lake town","33375",,"3","Arkansas","05",,,,"Horseshoe Lake town",90,37,2,0,0
"G05033460","1990",,,,,,,,,,"99999",,,"7",,"Hot Springs city","33460",,"3","Arkansas","05",,,,"Hot Springs city",10554,3594,236,86,18
"G05033482","1990",,,,,,,,,,"99999",,,"7",,"Hot Springs Village CDP","33482",,"3","Arkansas","05",,,,"Hot Springs Village CDP",2810,277,8,1,1
"G05033490","1990",,,,,,,,,,"99999",,,"7",,"Houston town","33490",,"3","Arkansas","05",,,,"Houston town",42,23,0,0,0
"G05033580","1990",,,,,,,,,,"99999",,,"7",,"Hoxie city","33580",,"3","Arkansas","05",,,,"Hoxie city",629,361,24,3,0
"G05033760","1990",,,,,,,,,,"99999",,,"7",,"Hughes city","33760",,"3","Arkansas","05",,,,"Hughes city",396,201,44,17,6
"G05033820","1990",,,,,,,,,,"99999",,,"7",,"Humnoke city","33820",,"3","Arkansas","05",,,,"Humnoke city",78,39,5,1,0
"G05033850","1990",,,,,,,,,,"99999",,,"7",,"Humphrey town","33850",,"3","Arkansas","05",,,,"Humphrey town",180,91,12,2,1
"G05033910","1990",,,,,,,,,,"99999",,,"7",,"Hunter town","33910",,"3","Arkansas","05",,,,"Hunter town",40,18,0,0,0
"G05033940","1990",,,,,,,,,,"99999",,,"7",,"Huntington city","33940",,"3","Arkansas","05",,,,"Huntington city",149,103,11,4,0
"G05033970","1990",,,,,,,,,,"99999",,,"7",,"Huntsville city","33970",,"3","Arkansas","05",,,,"Huntsville city",466,184,11,4,0
"G05034090","1990",,,,,,,,,,"99999",,,"7",,"Huttig town","34090",,"3","Arkansas","05",,,,"Huttig town",159,111,15,4,1
"G05034150","1990",,,,,,,,,,"99999",,,"7",,"Imboden town","34150",,"3","Arkansas","05",,,,"Imboden town",229,58,4,2,0
"G05034720","1990",,,,,,,,,,"99999",,,"7",,"Jacksonport town","34720",,"3","Arkansas","05",,,,"Jacksonport town",61,44,3,0,0
"G05034750","1990",,,,,,,,,,"99999",,,"7",,"Jacksonville city","34750",,"3","Arkansas","05",,,,"Jacksonville city",5142,4308,327,64,13
"G05034900","1990",,,,,,,,,,"99999",,,"7",,"Jasper city","34900",,"3","Arkansas","05",,,,"Jasper city",113,28,3,2,0
"G05035040","1990",,,,,,,,,,"99999",,,"7",,"Jennette town","35040",,"3","Arkansas","05",,,,"Jennette town",16,21,3,4,1
"G05035140","1990",,,,,,,,,,"99999",,,"7",,"Jericho town","35140",,"3","Arkansas","05",,,,"Jericho town",36,18,8,2,2
"G05035170","1990",,,,,,,,,,"99999",,,"7",,"Jerome city","35170",,"3","Arkansas","05",,,,"Jerome city",17,3,0,0,0
"G05035500","1990",,,,,,,,,,"99999",,,"7",,"Johnson city","35500",,"3","Arkansas","05",,,,"Johnson city",142,84,6,4,0
"G05035650","1990",,,,,,,,,,"99999",,,"7",,"Joiner city","35650",,"3","Arkansas","05",,,,"Joiner city",114,65,18,6,3
"G05035710","1990",,,,,,,,,,"99999",,,"7",,"Jonesboro city","35710",,"3","Arkansas","05",,,,"Jonesboro city",12163,5411,310,73,19
"G05036040","1990",,,,,,,,,,"99999",,,"7",,"Judsonia city","36040",,"3","Arkansas","05",,,,"Judsonia city",452,229,17,5,0
"G05036130","1990",,,,,,,,,,"99999",,,"7",,"Junction City city","36130",,"3","Arkansas","05",,,,"Junction City city",139,68,11,4,0
"G05036310","1990",,,,,,,,,,"99999",,,"7",,"Keiser town","36310",,"3","Arkansas","05",,,,"Keiser town",180,106,9,2,0
"G05036430","1990",,,,,,,,,,"99999",,,"7",,"Kensett city","36430",,"3","Arkansas","05",,,,"Kensett city",422,232,20,3,1
"G05036550","1990",,,,,,,,,,"99999",,,"7",,"Keo town","36550",,"3","Arkansas","05",,,,"Keo town",50,14,2,1,0
"G05036670","1990",,,,,,,,,,"99999",,,"7",,"Kibler town","36670",,"3","Arkansas","05",,,,"Kibler town",140,146,10,4,1
"G05036880","1990",,,,,,,,,,"99999",,,"7",,"Kingsland city","36880",,"3","Arkansas","05",,,,"Kingsland city",111,56,3,0,1
"G05037240","1990",,,,,,,,,,"99999",,,"7",,"Knobel town","37240",,"3","Arkansas","05",,,,"Knobel town",78,37,5,0,0
"G05037300","1990",,,,,,,,,,"99999",,,"7",,"Knoxville city","37300",,"3","Arkansas","05",,,,"Knoxville city",59,28,5,0,0
"G05037660","1990",,,,,,,,,,"99999",,,"7",,"Lafe town","37660",,"3","Arkansas","05",,,,"Lafe town",60,46,4,1,0
"G05037720","1990",,,,,,,,,,"99999",,,"7",,"LaGrange town","37720",,"3","Arkansas","05",,,,"LaGrange town",34,12,0,0,0
"G05037780","1990",,,,,,,,,,"99999",,,"7",,"Lake City town","37780",,"3","Arkansas","05",,,,"Lake City town",439,239,19,2,0
"G05037930","1990",,,,,,,,,,"99999",,,"7",,"Lake Hamilton CDP","37930",,"3","Arkansas","05",,,,"Lake Hamilton CDP",407,151,12,3,1
"G05038050","1990",,,,,,,,,,"99999",,,"7",,"Lakeview town","38050",,"3","Arkansas","05",,,,"Lakeview town",213,32,2,0,0
"G05038110","1990",,,,,,,,,,"99999",,,"7",,"Lake View town","38110",,"3","Arkansas","05",,,,"Lake View town",84,62,13,5,1
"G05038170","1990",,,,,,,,,,"99999",,,"7",,"Lake Village city","38170",,"3","Arkansas","05",,,,"Lake Village city",588,339,61,20,10
"G05038290","1990",,,,,,,,,,"99999",,,"7",,"Lamar city","38290",,"3","Arkansas","05",,,,"Lamar city",176,107,12,1,0
"G05038890","1990",,,,,,,,,,"99999",,,"7",,"Lavaca city","38890",,"3","Arkansas","05",,,,"Lavaca city",240,202,8,1,0
"G05039010","1990",,,,,,,,,,"99999",,,"7",,"Leachville city","39010",,"3","Arkansas","05",,,,"Leachville city",495,221,24,3,0
"G05039040","1990",,,,,,,,,,"99999",,,"7",,"Lead Hill town","39040",,"3","Arkansas","05",,,,"Lead Hill town",85,35,1,2,0
"G05039310","1990",,,,,,,,,,"99999",,,"7",,"Leola town","39310",,"3","Arkansas","05",,,,"Leola town",100,63,4,5,0
"G05039370","1990",,,,,,,,,,"99999",,,"7",,"Lepanto city","39370",,"3","Arkansas","05",,,,"Lepanto city",509,272,21,6,2
"G05039460","1990",,,,,,,,,,"99999",,,"7",,"Leslie city","39460",,"3","Arkansas","05",,,,"Leslie city",142,50,4,2,1
"G05039520","1990",,,,,,,,,,"99999",,,"7",,"Letona town","39520",,"3","Arkansas","05",,,,"Letona town",60,27,1,0,0
"G05039640","1990",,,,,,,,,,"99999",,,"7",,"Lewisville city","39640",,"3","Arkansas","05",,,,"Lewisville city",371,142,25,5,1
"G05039670","1990",,,,,,,,,,"99999",,,"7",,"Lexa city","39670",,"3","Arkansas","05",,,,"Lexa city",80,32,4,1,0
"G05039970","1990",,,,,,,,,,"99999",,,"7",,"Lincoln city","39970",,"3","Arkansas","05",,,,"Lincoln city",418,156,28,6,2
"G05040120","1990",,,,,,,,,,"99999",,,"7",,"Little Flock city","40120",,"3","Arkansas","05",,,,"Little Flock city",210,123,5,0,0
"G05041000","1990",,,,,,,,,,"99999",,,"7",,"Little Rock city","41000",,"3","Arkansas","05",,,,"Little Rock city",51040,19310,1617,482,124
"G05041090","1990",,,,,,,,,,"99999",,,"7",,"Lockesburg town","41090",,"3","Arkansas","05",,,,"Lockesburg town",172,68,10,2,0
"G05041270","1990",,,,,,,,,,"99999",,,"7",,"London city","41270",,"3","Arkansas","05",,,,"London city",196,112,3,0,1
"G05041420","1990",,,,,,,,,,"99999",,,"7",,"Lonoke city","41420",,"3","Arkansas","05",,,,"Lonoke city",988,441,46,12,4
"G05041450","1990",,,,,,,,,,"99999",,,"7",,"Lonsdale town","41450",,"3","Arkansas","05",,,,"Lonsdale town",13,24,2,0,0
"G05041630","1990",,,,,,,,,,"99999",,,"7",,"Louann town","41630",,"3","Arkansas","05",,,,"Louann town",34,24,2,0,0
"G05041720","1990",,,,,,,,,,"99999",,,"7",,"Lowell city","41720",,"3","Arkansas","05",,,,"Lowell city",303,150,22,1,1
"G05042170","1990",,,,,,,,,,"99999",,,"7",,"Luxora town","42170",,"3","Arkansas","05",,,,"Luxora town",247,166,34,11,4
"G05042260","1990",,,,,,,,,,"99999",,,"7",,"Lynn town","42260",,"3","Arkansas","05",,,,"Lynn town",98,26,4,0,0
"G05042410","1990",,,,,,,,,,"99999",,,"7",,"McCaskill city","42410",,"3","Arkansas","05",,,,"McCaskill city",23,7,1,0,0
"G05042500","1990",,,,,,,,,,"99999",,,"7",,"McCrory city","42500",,"3","Arkansas","05",,,,"McCrory city",492,218,27,5,2
"G05042560","1990",,,,,,,,,,"99999",,,"7",,"McDougal town","42560",,"3","Arkansas","05",,,,"McDougal town",70,23,3,0,0
"G05042770","1990",,,,,,,,,,"99999",,,"7",,"McGehee city","42770",,"3","Arkansas","05",,,,"McGehee city",1091,672,61,14,7
"G05043070","1990",,,,,,,,,,"99999",,,"7",,"McNab town","43070",,"3","Arkansas","05",,,,"McNab town",16,9,5,0,0
"G05043100","1990",,,,,,,,,,"99999",,,"7",,"McNeil city","43100",,"3","Arkansas","05",,,,"McNeil city",166,68,12,3,1
"G05043220","1990",,,,,,,,,,"99999",,,"7",,"McRae city","43220",,"3","Arkansas","05",,,,"McRae city",167,93,11,1,1
"G05043280","1990",,,,,,,,,,"99999",,,"7",,"Madison city","43280",,"3","Arkansas","05",,,,"Madison city",195,150,41,11,5
"G05043310","1990",,,,,,,,,,"99999",,,"7",,"Magazine city","43310",,"3","Arkansas","05",,,,"Magazine city",179,101,15,4,1
"G05043370","1990",,,,,,,,,,"99999",,,"7",,"Magness town","43370",,"3","Arkansas","05",,,,"Magness town",51,16,2,0,0
"G05043460","1990",,,,,,,,,,"99999",,,"7",,"Magnolia city","43460",,"3","Arkansas","05",,,,"Magnolia city",2899,1198,125,42,18
"G05043610","1990",,,,,,,,,,"99999",,,"7",,"Malvern city","43610",,"3","Arkansas","05",,,,"Malvern city",2609,1115,88,23,1
"G05043670","1990",,,,,,,,,,"99999",,,"7",,"Mammoth Spring city","43670",,"3","Arkansas","05",,,,"Mammoth Spring city",339,128,11,4,0
"G05043820","1990",,,,,,,,,,"99999",,,"7",,"Manila city","43820",,"3","Arkansas","05",,,,"Manila city",679,345,30,7,2
"G05043880","1990",,,,,,,,,,"99999",,,"7",,"Mansfield city","43880",,"3","Arkansas","05",,,,"Mansfield city",277,124,10,1,0
"G05044120","1990",,,,,,,,,,"99999",,,"7",,"Marianna city","44120",,"3","Arkansas","05",,,,"Marianna city",1229,637,135,45,22
"G05044150","1990",,,,,,,,,,"99999",,,"7",,"Marie town","44150",,"3","Arkansas","05",,,,"Marie town",15,16,6,0,0
"G05044180","1990",,,,,,,,,,"99999",,,"7",,"Marion city","44180",,"3","Arkansas","05",,,,"Marion city",778,655,36,8,0
"G05044210","1990",,,,,,,,,,"99999",,,"7",,"Marked Tree city","44210",,"3","Arkansas","05",,,,"Marked Tree city",697,390,49,17,5
"G05044240","1990",,,,,,,,,,"99999",,,"7",,"Marmaduke city","44240",,"3","Arkansas","05",,,,"Marmaduke city",316,137,17,2,0
"G05044300","1990",,,,,,,,,,"99999",,,"7",,"Marshall city","44300",,"3","Arkansas","05",,,,"Marshall city",403,142,10,0,0
"G05044420","1990",,,,,,,,,,"99999",,,"7",,"Marvell city","44420",,"3","Arkansas","05",,,,"Marvell city",394,153,21,9,5
"G05044600","1990",,,,,,,,,,"99999",,,"7",,"Maumelle city","44600",,"3","Arkansas","05",,,,"Maumelle city",1622,896,19,3,0
"G05044750","1990",,,,,,,,,,"99999",,,"7",,"Mayflower city","44750",,"3","Arkansas","05",,,,"Mayflower city",382,198,8,6,0
"G05044780","1990",,,,,,,,,,"99999",,,"7",,"Maynard town","44780",,"3","Arkansas","05",,,,"Maynard town",104,43,3,2,0
"G05045080","1990",,,,,,,,,,"99999",,,"7",,"Melbourne city","45080",,"3","Arkansas","05",,,,"Melbourne city",449,189,14,1,1
"G05045170","1990",,,,,,,,,,"99999",,,"7",,"Mena city","45170",,"3","Arkansas","05",,,,"Mena city",1685,626,33,15,1
"G05045200","1990",,,,,,,,,,"99999",,,"7",,"Menifee city","45200",,"3","Arkansas","05",,,,"Menifee city",79,39,6,2,0
"G05045500","1990",,,,,,,,,,"99999",,,"7",,"Midland town","45500",,"3","Arkansas","05",,,,"Midland town",49,34,1,0,0
"G05046040","1990",,,,,,,,,,"99999",,,"7",,"Mineral Springs city","46040",,"3","Arkansas","05",,,,"Mineral Springs city",253,114,17,3,1
"G05046100","1990",,,,,,,,,,"99999",,,"7",,"Minturn town","46100",,"3","Arkansas","05",,,,"Minturn town",34,14,3,0,0
"G05046190","1990",,,,,,,,,,"99999",,,"7",,"Mitchellville city","46190",,"3","Arkansas","05",,,,"Mitchellville city",93,49,17,7,1
"G05046400","1990",,,,,,,,,,"99999",,,"7",,"Monette city","46400",,"3","Arkansas","05",,,,"Monette city",378,116,10,1,1
"G05046580","1990",,,,,,,,,,"99999",,,"7",,"Monticello city","46580",,"3","Arkansas","05",,,,"Monticello city",1894,931,79,26,12
"G05046670","1990",,,,,,,,,,"99999",,,"7",,"Montrose city","46670",,"3","Arkansas","05",,,,"Montrose city",112,48,18,8,0
"G05046730","1990",,,,,,,,,,"99999",,,"7",,"Moorefield town","46730",,"3","Arkansas","05",,,,"Moorefield town",42,19,1,0,0
"G05046910","1990",,,,,,,,,,"99999",,,"7",,"Moro town","46910",,"3","Arkansas","05",,,,"Moro town",75,34,3,0,0
"G05046970","1990",,,,,,,,,,"99999",,,"7",,"Morrilton city","46970",,"3","Arkansas","05",,,,"Morrilton city",1782,733,67,15,4
