GISJOIN,YEAR,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,COUNTYA,CTY_SUBA,DIVISIONA,MSA_CMSAA,PLACE,PLACEA,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,ANPSADPI,ESP001,ESP002,ESP003,ESP004,ESP005
"G01013264","1990",,,,,,,,,,"99999",,,"6",,"Center Point CDP","13264",,"3","Alabama","01",,,,"Center Point CDP",5844,2585,78,9,2
"G01013648","1990",,,,,,,,,,"99999",,,"6",,"Centre city","13648",,"3","Alabama","01",,,,"Centre city",812,311,21,8,1
"G01013672","1990",,,,,,,,,,"99999",,,"6",,"Centreville city","13672",,"3","Alabama","01",,,,"Centreville city",518,251,43,9,7
"G01014008","1990",,,,,,,,,,"99999",,,"6",,"Chatom town","14008",,"3","Alabama","01",,,,"Chatom town",225,128,13,3,3
"G01014104","1990",,,,,,,,,,"99999",,,"6",,"Chelsea CDP","14104",,"3","Alabama","01",,,,"Chelsea CDP",269,164,11,3,0
"G01014152","1990",,,,,,,,,,"99999",,,"6",,"Cherokee town","14152",,"3","Alabama","01",,,,"Cherokee town",397,173,5,1,1
"G01014392","1990",,,,,,,,,,"99999",,,"6",,"Chickasaw city","14392",,"3","Alabama","01",,,,"Chickasaw city",2044,707,35,10,0
"G01014464","1990",,,,,,,,,,"99999",,,"6",,"Childersburg city","14464",,"3","Alabama","01",,,,"Childersburg city",1193,520,51,10,4
"G01015064","1990",,,,,,,,,,"99999",,,"6",,"Citronelle city","15064",,"3","Alabama","01",,,,"Citronelle city",729,452,49,23,7
"G01015136","1990",,,,,,,,,,"99999",,,"6",,"Clanton city","15136",,"3","Alabama","01",,,,"Clanton city",2089,858,55,16,4
"G01015304","1990",,,,,,,,,,"99999",,,"6",,"Clayhatchee town","15304",,"3","Alabama","01",,,,"Clayhatchee town",131,44,2,0,0
"G01015376","1990",,,,,,,,,,"99999",,,"6",,"Clayton town","15376",,"3","Alabama","01",,,,"Clayton town",383,163,20,19,2
"G01015472","1990",,,,,,,,,,"99999",,,"6",,"Cleveland town","15472",,"3","Alabama","01",,,,"Cleveland town",186,97,1,0,0
"G01015640","1990",,,,,,,,,,"99999",,,"6",,"Clio town","15640",,"3","Alabama","01",,,,"Clio town",293,123,24,7,2
"G01016240","1990",,,,,,,,,,"99999",,,"6",,"Coffee Springs town","16240",,"3","Alabama","01",,,,"Coffee Springs town",80,30,2,0,1
"G01016264","1990",,,,,,,,,,"99999",,,"6",,"Coffeeville town","16264",,"3","Alabama","01",,,,"Coffeeville town",113,54,4,3,0
"G01016600","1990",,,,,,,,,,"99999",,,"6",,"Collinsville town","16600",,"3","Alabama","01",,,,"Collinsville town",345,145,11,5,1
"G01016684","1990",,,,,,,,,,"99999",,,"6",,"Colony town","16684",,"3","Alabama","01",,,,"Colony town",49,41,2,3,1
"G01016744","1990",,,,,,,,,,"99999",,,"6",,"Columbia town","16744",,"3","Alabama","01",,,,"Columbia town",242,108,14,2,2
"G01016768","1990",,,,,,,,,,"99999",,,"6",,"Columbiana city","16768",,"3","Alabama","01",,,,"Columbiana city",680,352,24,9,3
