GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,CTY_SUBA,PLACE,PLACEA,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,TRBL_SUBA,ANRCA,MSA_CMSAA,PMSAA,NECMAA,URB_AREAA,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,NAME,F90001,F90002,F90003,F90004,F90005,F90006,F90007,F90008,F90009,F90010
"G01009208","2000","3","6","Alabama","01",,,"Brewton city","09208",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Brewton city",1300,290,0,0,0,397,191,18,7,0
"G01009328","2000","3","6","Alabama","01",,,"Bridgeport city","09328",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Bridgeport city",585,228,6,0,0,197,106,10,0,6
"G01009400","2000","3","6","Alabama","01",,,"Brighton city","09400",,,,,,,,,,,"1000","9999","9999",,,,,,,,"Brighton city",631,248,32,12,0,317,122,17,0,0
"G01009424","2000","3","6","Alabama","01",,,"Brilliant town","09424",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Brilliant town",193,48,0,0,0,66,30,0,0,0
"G01009736","2000","3","6","Alabama","01",,,"Brookside town","09736",,,,,,,,,,,"1000","9999","9999",,,,,,,,"Brookside town",272,120,11,0,0,79,49,0,2,0
"G01009808","2000","3","6","Alabama","01",,,"Brookwood town","09808",,,,,,,,,,,"8600","9999","9999",,,,,,,,"Brookwood town",314,123,11,0,0,45,27,2,0,0
"G01010240","2000","3","6","Alabama","01",,,"Brundidge city","10240",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Brundidge city",504,135,16,4,0,239,86,27,4,0
"G01011032","2000","3","6","Alabama","01",,,"Butler city","11032",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Butler city",447,133,5,3,0,147,57,11,0,2
"G01011128","2000","3","6","Alabama","01",,,"Bynum CDP","11128",,,,,,,,,,,"0450","9999","9999",,,,,,,,"Bynum CDP",407,201,9,0,0,75,36,0,0,0
"G01011248","2000","3","6","Alabama","01",,,"Cahaba Heights CDP","11248",,,,,,,,,,,"1000","9999","9999",,,,,,,,"Cahaba Heights CDP",1278,197,10,0,0,873,195,14,0,0
"G01011416","2000","3","6","Alabama","01",,,"Calera city","11416",,,,,,,,,,,"####","9999","9999",,,,,,,,"Calera city",655,246,4,0,0,218,87,15,8,0
"G01011512","2000","3","6","Alabama","01",,,"Camden town","11512",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Camden town",431,184,14,11,9,149,58,21,7,2
"G01011680","2000","3","6","Alabama","01",,,"Camp Hill town","11680",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Camp Hill town",236,90,19,0,0,132,43,0,4,0
"G01012016","2000","3","6","Alabama","01",,,"Carbon Hill city","12016",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Carbon Hill city",478,145,15,0,0,162,56,14,7,0
"G01012040","2000","3","6","Alabama","01",,,"Cardiff town","12040",,,,,,,,,,,"1000","9999","9999",,,,,,,,"Cardiff town",23,14,0,0,0,8,0,0,0,0
"G01012160","2000","3","6","Alabama","01",,,"Carolina town","12160",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Carolina town",64,27,0,0,0,9,5,0,0,0
"G01012304","2000","3","6","Alabama","01",,,"Carrollton town","12304",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Carrollton town",188,42,4,0,0,72,58,8,7,3
"G01012496","2000","3","6","Alabama","01",,,"Castleberry town","12496",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Castleberry town",155,70,0,0,0,41,12,0,2,0
"G01012760","2000","3","6","Alabama","01",,,"Cedar Bluff town","12760",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Cedar Bluff town",315,86,10,0,2,130,72,6,1,0
