GISJOIN,YEAR,STATE,STATEA,COUNTYA,CTY_SUBA,PLACE,PLACEA,TRACTA,ENUMDISTA,SCSAA,SMSAA,URB_AREAA,BLCK_GRPA,BLOCKA,ANXTERRA,URBRURALA,CDA,AREANAME,CCO001,CCO002,CCO003
"G1301500","1970","Georgia","13",,,"Jersey","1500",,,,,,,,,,,"Jersey",46,4,5
"G1301505","1970","Georgia","13",,,"Jesup","1505",,,,,,,,,,,"Jesup",2377,211,127
"G1301510","1970","Georgia","13",,,"Jonesboro","1510",,,,,,,,,,,"Jonesboro",1021,97,38
"G1301515","1970","Georgia","13",,,"Junction City","1515",,,,,,,,,,,"Junction City",50,12,10
"G1301520","1970","Georgia","13",,,"Kennesaw","1520",,,,,,,,,,,"Kennesaw",891,70,14
"G1301525","1970","Georgia","13",,,"Kingsland","1525",,,,,,,,,,,"Kingsland",418,61,37
"G1301530","1970","Georgia","13",,,"Kingston","1530",,,,,,,,,,,"Kingston",176,18,13
"G1301535","1970","Georgia","13",,,"Kite","1535",,,,,,,,,,,"Kite",122,7,5
"G1301540","1970","Georgia","13",,,"La Fayette","1540",,,,,,,,,,,"La Fayette",1776,145,38
"G1301545","1970","Georgia","13",,,"La Grange","1545",,,,,,,,,,,"La Grange",6436,550,413
"G1301550","1970","Georgia","13",,,"Lake City","1550",,,,,,,,,,,"Lake City",594,36,11
"G1301555","1970","Georgia","13",,,"Lakeland","1555",,,,,,,,,,,"Lakeland",634,58,41
"G1301560","1970","Georgia","13",,,"Lake Park","1560",,,,,,,,,,,"Lake Park",91,9,7
"G1301565","1970","Georgia","13",,,"Lavonia","1565",,,,,,,,,,,"Lavonia",611,42,21
"G1301570","1970","Georgia","13",,,"Lawrenceville","1570",,,,,,,,,,,"Lawrenceville",1551,96,28
"G1301575","1970","Georgia","13",,,"Leary","1575",,,,,,,,,,,"Leary",170,27,43
"G1301580","1970","Georgia","13",,,"Leesburg","1580",,,,,,,,,,,"Leesburg",237,30,22
"G1301585","1970","Georgia","13",,,"Lenox","1585",,,,,,,,,,,"Lenox",215,24,21
"G1301590","1970","Georgia","13",,,"Leslie","1590",,,,,,,,,,,"Leslie",154,16,10
"G1301595","1970","Georgia","13",,,"Lexington","1595",,,,,,,,,,,"Lexington",91,4,10
"G1301600","1970","Georgia","13",,,"Lilburn","1600",,,,,,,,,,,"Lilburn",454,29,2
"G1301605","1970","Georgia","13",,,"Lilly","1605",,,,,,,,,,,"Lilly",35,5,7
"G1301610","1970","Georgia","13",,,"Lincoln Park (U)","1610",,,,,,,,,,,"Lincoln Park (U)",312,72,106
"G1301615","1970","Georgia","13",,,"Lincolnton","1615",,,,,,,,,,,"Lincolnton",423,27,19
"G1301617","1970","Georgia","13",,,"Lindale (U)","1617",,,,,,,,,,,"Lindale (U)",815,46,19
"G1301625","1970","Georgia","13",,,"Linwood","1625",,,,,,,,,,,"Linwood",109,37,15
"G1301630","1970","Georgia","13",,,"Lithonia","1630",,,,,,,,,,,"Lithonia",586,69,44
"G1301635","1970","Georgia","13",,,"Locust Grove","1635",,,,,,,,,,,"Locust Grove",181,12,9
"G1301640","1970","Georgia","13",,,"Loganville","1640",,,,,,,,,,,"Loganville",356,39,19
"G1301645","1970","Georgia","13",,,"Lone Oak","1645",,,,,,,,,,,"Lone Oak",35,6,1
"G1301647","1970","Georgia","13",,,"Lookout Mountain","1647",,,,,,,,,,,"Lookout Mountain",464,11,3
"G1301650","1970","Georgia","13",,,"Louisville","1650",,,,,,,,,,,"Louisville",739,60,48
"G1301660","1970","Georgia","13",,,"Lovett","1660",,,,,,,,,,,"Lovett",22,0,0
"G1301665","1970","Georgia","13",,,"Ludowici","1665",,,,,,,,,,,"Ludowici",385,32,22
"G1301670","1970","Georgia","13",,,"Lula","1670",,,,,,,,,,,"Lula",209,16,11
"G1301675","1970","Georgia","13",,,"Lumber City","1675",,,,,,,,,,,"Lumber City",331,39,32
"G1301680","1970","Georgia","13",,,"Lumpkin","1680",,,,,,,,,,,"Lumpkin",351,42,41
"G1301685","1970","Georgia","13",,,"Luthersville","1685",,,,,,,,,,,"Luthersville",120,12,5
"G1301690","1970","Georgia","13",,,"Lyerly","1690",,,,,,,,,,,"Lyerly",140,7,2
"G1301695","1970","Georgia","13",,,"Lyons","1695",,,,,,,,,,,"Lyons",1064,103,44
"G1301700","1970","Georgia","13",,,"Mc Caysville","1700",,,,,,,,,,,"Mc Caysville",532,29,9
"G1301705","1970","Georgia","13",,,"Mc Donough","1705",,,,,,,,,,,"Mc Donough",720,69,48
"G1301710","1970","Georgia","13",,,"Mc Intyre","1710",,,,,,,,,,,"Mc Intyre",115,7,11
"G1301715","1970","Georgia","13",,,"Mc Rae","1715",,,,,,,,,,,"Mc Rae",870,67,37
"G1301725","1970","Georgia","13",,,"Macon","1725",,,,,,,,,,,"Macon",33831,2824,1657
"G1301730","1970","Georgia","13",,,"Madison","1730",,,,,,,,,,,"Madison",742,91,63
"G1301735","1970","Georgia","13",,,"Manassas","1735",,,,,,,,,,,"Manassas",47,4,0
"G1301740","1970","Georgia","13",,,"Manchester","1740",,,,,,,,,,,"Manchester",1299,129,66
"G1301745","1970","Georgia","13",,,"Mansfield","1745",,,,,,,,,,,"Mansfield",116,7,6
"G1301750","1970","Georgia","13",,,"Marietta","1750",,,,,,,,,,,"Marietta",7946,576,145
"G1301757","1970","Georgia","13",,,"Marine Corps Center (U)","1757",,,,,,,,,,,"Marine Corps Center (U)",264,27,2
"G1301760","1970","Georgia","13",,,"Marshallville","1760",,,,,,,,,,,"Marshallville",280,51,40
