GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,A43AA,A43AB
"G0100530","1970","Alabama","01","010","Escambia County","053","0530","Escambia",9963,854
"G0100550","1970","Alabama","01","010","Etowah County","055","0550","Etowah",30241,1746
"G0100570","1970","Alabama","01","010","Fayette County","057","0570","Fayette",5223,571
"G0100590","1970","Alabama","01","010","Franklin County","059","0590","Franklin",7698,665
"G0100610","1970","Alabama","01","010","Geneva County","061","0610","Geneva",7059,622
"G0100630","1970","Alabama","01","010","Greene County","063","0630","Greene",2947,437
"G0100650","1970","Alabama","01","010","Hale County","065","0650","Hale",4277,572
"G0100670","1970","Alabama","01","010","Henry County","067","0670","Henry",4103,600
"G0100690","1970","Alabama","01","010","Houston County","069","0690","Houston",17600,1687
"G0100710","1970","Alabama","01","010","Jackson County","071","0710","Jackson",12014,952
"G0100730","1970","Alabama","01","010","Jefferson County","073","0730","Jefferson",203629,9308
"G0100750","1970","Alabama","01","010","Lamar County","075","0750","Lamar",4672,471
"G0100770","1970","Alabama","01","010","Lauderdale County","077","0770","Lauderdale",20779,1571
"G0100790","1970","Alabama","01","010","Lawrence County","079","0790","Lawrence",7808,708
"G0100810","1970","Alabama","01","010","Lee County","081","0810","Lee",17391,2024
"G0100830","1970","Alabama","01","010","Limestone County","083","0830","Limestone",12040,637
"G0100850","1970","Alabama","01","010","Lowndes County","085","0850","Lowndes",3100,348
"G0100870","1970","Alabama","01","010","Macon County","087","0870","Macon",6457,622
"G0100890","1970","Alabama","01","010","Madison County","089","0890","Madison",53150,3676
"G0100910","1970","Alabama","01","010","Marengo County","091","0910","Marengo",6741,600
"G0100930","1970","Alabama","01","010","Marion County","093","0930","Marion",7708,701
"G0100950","1970","Alabama","01","010","Marshall County","095","0950","Marshall",17111,1444
"G0100970","1970","Alabama","01","010","Mobile County","097","0970","Mobile",91769,7672
"G0100990","1970","Alabama","01","010","Monroe County","099","0990","Monroe",5932,742
"G0101010","1970","Alabama","01","010","Montgomery County","101","1010","Montgomery",50689,5029
"G0101030","1970","Alabama","01","010","Morgan County","103","1030","Morgan",23520,1301
"G0101050","1970","Alabama","01","010","Perry County","105","1050","Perry",4192,452
"G0101070","1970","Alabama","01","010","Pickens County","107","1070","Pickens",5946,502
"G0101090","1970","Alabama","01","010","Pike County","109","1090","Pike",7445,674
"G0101110","1970","Alabama","01","010","Randolph County","111","1110","Randolph",5887,555
"G0101130","1970","Alabama","01","010","Russell County","113","1130","Russell",13058,1053
"G0101150","1970","Alabama","01","010","St. Clair County","115","1150","St Clair",8312,1137
"G0101170","1970","Alabama","01","010","Shelby County","117","1170","Shelby",11125,1019
"G0101190","1970","Alabama","01","010","Sumter County","119","1190","Sumter",4660,411
"G0101210","1970","Alabama","01","010","Talladega County","121","1210","Talladega",18861,1629
"G0101230","1970","Alabama","01","010","Tallapoosa County","123","1230","Tallapoosa",10458,1755
"G0101250","1970","Alabama","01","010","Tuscaloosa County","125","1250","Tuscaloosa",32916,2602
"G0101270","1970","Alabama","01","010","Walker County","127","1270","Walker",17697,1707
"G0101290","1970","Alabama","01","010","Washington County","129","1290","Washington",4346,333
"G0101310","1970","Alabama","01","010","Wilcox County","131","1310","Wilcox",4211,504
"G0101330","1970","Alabama","01","010","Winston County","133","1330","Winston",5378,663
"G0200100","1970","Alaska","02","020","Aleutian Islands","010","0100","Aleutian Islands",1225,107
"G0200200","1970","Alaska","02","020","Anchorage Municipality","020","0200","Anchorage",34988,2662
"G0200300","1970","Alaska","02","020","Angoon","030","0300","Angoon",134,51
"G0200400","1970","Alaska","02","020","Barrow","040","0400","Barrow",463,36
"G0200500","1970","Alaska","02","020","Bethel Census Area","050","0500","Bethel",1435,272
"G0200600","1970","Alaska","02","020","Bristol Bay Borough","060","0600","Bristol Bay Borough",192,22
"G0200620","1970","Alaska","02","020","Bristol Bay Division","062","0620","Bristol Bay Division",724,227
"G0200800","1970","Alaska","02","020","Cordova-McCarthy","080","0800","Cordova-Mc Carthy",591,352
"G0200900","1970","Alaska","02","020","Fairbanks North Star Borough","090","0900","Fairbanks",11590,930
"G0201000","1970","Alaska","02","020","Haines Borough","100","1000","Haines",424,91
"G0201100","1970","Alaska","02","020","Juneau City and Borough","110","1100","Juneau",4223,306
"G0201200","1970","Alaska","02","020","Kenai-Cook Inlet","120","1200","Kenai-Cook Inlet",3889,988
"G0201300","1970","Alaska","02","020","Ketchikan Gateway Borough","130","1300","Ketchikan",3006,259
"G0201400","1970","Alaska","02","020","Kobuk","140","1400","Kobuk",814,176
"G0201500","1970","Alaska","02","020","Kodiak Island Borough","150","1500","Kodiak",2384,155
"G0201600","1970","Alaska","02","020","Kuskokwim","160","1600","Kuskokwim",463,64
"G0201700","1970","Alaska","02","020","Matanuska-Susitna Borough","170","1700","Matanuska-Susitna",1841,2380
"G0201800","1970","Alaska","02","020","Nome Census Area","180","1800","Nome",1209,491
"G0201900","1970","Alaska","02","020","Outer Ketchikan","190","1900","Outer Ketchikan",391,7
"G0202000","1970","Alaska","02","020","Prince Of Wales","200","2000","Prince Of Wales",560,49
"G0202100","1970","Alaska","02","020","Seward","210","2100","Seward",722,470
"G0202200","1970","Alaska","02","020","Sitka City and Borough","220","2200","Sitka",1767,148
"G0202300","1970","Alaska","02","020","Skagway Municipality","230","2300","Skagway-Yakutat",607,108
"G0202400","1970","Alaska","02","020","Southeast Fairbanks Census Area","240","2400","Southeast Fairbanks",1027,298
"G0202500","1970","Alaska","02","020","Upper Yukon","250","2500","Upper Yukon",338,145
"G0202600","1970","Alaska","02","020","Valdez-Chitina-Whittier","260","2600","Valdez-Chitina-Whittier",921,521
"G0202700","1970","Alaska","02","020","Wade Hampton Census Area","270","2700","Wade Hampton",643,47
"G0202800","1970","Alaska","02","020","Wrangell-Petersburg","280","2800","Wrangell-Petersburg",1473,146
"G0202900","1970","Alaska","02","020","Yukon-Koyukuk Census Area","290","2900","Yukon-Koyukuk",1015,162
"G0400010","1970","Arizona","04","040","Apache County","001","0010","Apache",6832,2202
"G0400030","1970","Arizona","04","040","Cochise County","003","0030","Cochise",17878,1608
"G0400050","1970","Arizona","04","040","Coconino County","005","0050","Coconino",12474,2334
"G0400070","1970","Arizona","04","040","Gila County","007","0070","Gila",8806,2325
"G0400090","1970","Arizona","04","040","Graham County","009","0090","Graham",4325,543
"G0400110","1970","Arizona","04","040","Greenlee County","011","0110","Greenlee",3022,510
"G0400130","1970","Arizona","04","040","Maricopa County","013","0130","Maricopa",302633,16081
"G0400150","1970","Arizona","04","040","Mohave County","015","0150","Mohave",8626,1924
"G0400170","1970","Arizona","04","040","Navajo County","017","0170","Navajo",11278,2626
"G0400190","1970","Arizona","04","040","Pima County","019","0190","Pima",110785,7838
"G0400210","1970","Arizona","04","040","Pinal County","021","0210","Pinal",18096,1556
"G0400230","1970","Arizona","04","040","Santa Cruz County","023","0230","Santa Cruz",3817,463
"G0400250","1970","Arizona","04","040","Yavapai County","025","0250","Yavapai",12999,3137
"G0400270","1970","Arizona","04","040","Yuma County","027","0270","Yuma",17586,1867
"G0500010","1970","Arkansas","05","050","Arkansas County","001","0010","Arkansas",7500,686
"G0500030","1970","Arkansas","05","050","Ashley County","003","0030","Ashley",7535,728
"G0500050","1970","Arkansas","05","050","Baxter County","005","0050","Baxter",5800,756
"G0500070","1970","Arkansas","05","050","Benton County","007","0070","Benton",16916,1839
"G0500090","1970","Arkansas","05","050","Boone County","009","0090","Boone",6654,649
"G0500110","1970","Arkansas","05","050","Bradley County","011","0110","Bradley",4229,492
"G0500130","1970","Arkansas","05","050","Calhoun County","013","0130","Calhoun",1769,263
"G0500150","1970","Arkansas","05","050","Carroll County","015","0150","Carroll",4565,633
"G0500170","1970","Arkansas","05","050","Chicot County","017","0170","Chicot",5477,700
"G0500190","1970","Arkansas","05","050","Clark County","019","0190","Clark",6608,625
"G0500210","1970","Arkansas","05","050","Clay County","021","0210","Clay",6511,574
"G0500230","1970","Arkansas","05","050","Cleburne County","023","0230","Cleburne",3617,803
"G0500250","1970","Arkansas","05","050","Cleveland County","025","0250","Cleveland",2145,218
"G0500270","1970","Arkansas","05","050","Columbia County","027","0270","Columbia",8197,791
"G0500290","1970","Arkansas","05","050","Conway County","029","0290","Conway",5299,528
"G0500310","1970","Arkansas","05","050","Craighead County","031","0310","Craighead",16572,1078
"G0500330","1970","Arkansas","05","050","Crawford County","033","0330","Crawford",8174,722
"G0500350","1970","Arkansas","05","050","Crittenden County","035","0350","Crittenden",13255,1019
"G0500370","1970","Arkansas","05","050","Cross County","037","0370","Cross",5703,332
"G0500390","1970","Arkansas","05","050","Dallas County","039","0390","Dallas",3182,338
"G0500410","1970","Arkansas","05","050","Desha County","041","0410","Desha",5646,672
"G0500430","1970","Arkansas","05","050","Drew County","043","0430","Drew",4619,459
"G0500450","1970","Arkansas","05","050","Faulkner County","045","0450","Faulkner",9281,915
"G0500470","1970","Arkansas","05","050","Franklin County","047","0470","Franklin",3656,414
"G0500490","1970","Arkansas","05","050","Fulton County","049","0490","Fulton",2647,390
"G0500510","1970","Arkansas","05","050","Garland County","051","0510","Garland",20096,3900
"G0500530","1970","Arkansas","05","050","Grant County","053","0530","Grant",3120,229
"G0500550","1970","Arkansas","05","050","Greene County","055","0550","Greene",8329,441
"G0500570","1970","Arkansas","05","050","Hempstead County","057","0570","Hempstead",6493,644
"G0500590","1970","Arkansas","05","050","Hot Spring County","059","0590","Hot Spring",7203,510
"G0500610","1970","Arkansas","05","050","Howard County","061","0610","Howard",3798,403
"G0500630","1970","Arkansas","05","050","Independence County","063","0630","Independence",7740,631
"G0500650","1970","Arkansas","05","050","Izard County","065","0650","Izard",2620,578
"G0500670","1970","Arkansas","05","050","Jackson County","067","0670","Jackson",6609,482
"G0500690","1970","Arkansas","05","050","Jefferson County","069","0690","Jefferson",25714,2633
"G0500710","1970","Arkansas","05","050","Johnson County","071","0710","Johnson",4761,517
"G0500730","1970","Arkansas","05","050","Lafayette County","073","0730","Lafayette",3180,612
"G0500750","1970","Arkansas","05","050","Lawrence County","075","0750","Lawrence",5533,552
"G0500770","1970","Arkansas","05","050","Lee County","077","0770","Lee",5199,367
"G0500790","1970","Arkansas","05","050","Lincoln County","079","0790","Lincoln",3437,349
"G0500810","1970","Arkansas","05","050","Little River County","081","0810","Little River",3469,548
"G0500830","1970","Arkansas","05","050","Logan County","083","0830","Logan",5596,590
"G0500850","1970","Arkansas","05","050","Lonoke County","085","0850","Lonoke",8020,890
"G0500870","1970","Arkansas","05","050","Madison County","087","0870","Madison",3132,422
"G0500890","1970","Arkansas","05","050","Marion County","089","0890","Marion",2566,482
"G0500910","1970","Arkansas","05","050","Miller County","091","0910","Miller",10830,1045
"G0500930","1970","Arkansas","05","050","Mississippi County","093","0930","Mississippi",18292,1526
"G0500950","1970","Arkansas","05","050","Monroe County","095","0950","Monroe",4703,304
"G0500970","1970","Arkansas","05","050","Montgomery County","097","0970","Montgomery",2056,301
"G0500990","1970","Arkansas","05","050","Nevada County","099","0990","Nevada",3415,410
"G0501010","1970","Arkansas","05","050","Newton County","101","1010","Newton",1890,392
"G0501030","1970","Arkansas","05","050","Ouachita County","103","1030","Ouachita",9979,1134
"G0501050","1970","Arkansas","05","050","Perry County","105","1050","Perry",1854,364
"G0501070","1970","Arkansas","05","050","Phillips County","107","1070","Phillips",11497,854
"G0501090","1970","Arkansas","05","050","Pike County","109","1090","Pike",3012,357
"G0501110","1970","Arkansas","05","050","Poinsett County","111","1110","Poinsett",8307,616
"G0501130","1970","Arkansas","05","050","Polk County","113","1130","Polk",4673,519
"G0501150","1970","Arkansas","05","050","Pope County","115","1150","Pope",9014,868
"G0501170","1970","Arkansas","05","050","Prairie County","117","1170","Prairie",3280,322
"G0501190","1970","Arkansas","05","050","Pulaski County","119","1190","Pulaski",92013,6188
"G0501210","1970","Arkansas","05","050","Randolph County","121","1210","Randolph",4265,390
"G0501230","1970","Arkansas","05","050","St. Francis County","123","1230","St Francis",8543,482
"G0501250","1970","Arkansas","05","050","Saline County","125","1250","Saline",10869,815
"G0501270","1970","Arkansas","05","050","Scott County","127","1270","Scott",2778,259
"G0501290","1970","Arkansas","05","050","Searcy County","129","1290","Searcy",2573,464
"G0501310","1970","Arkansas","05","050","Sebastian County","131","1310","Sebastian",26570,2036
"G0501330","1970","Arkansas","05","050","Sevier County","133","1330","Sevier",3793,376
"G0501350","1970","Arkansas","05","050","Sharp County","135","1350","Sharp",2936,1439
"G0501370","1970","Arkansas","05","050","Stone County","137","1370","Stone",2210,444
"G0501390","1970","Arkansas","05","050","Union County","139","1390","Union",15145,1500
"G0501410","1970","Arkansas","05","050","Van Buren County","141","1410","Van Buren",2857,504
"G0501430","1970","Arkansas","05","050","Washington County","143","1430","Washington",24791,1764
"G0501450","1970","Arkansas","05","050","White County","145","1450","White",12665,1141
"G0501470","1970","Arkansas","05","050","Woodruff County","147","1470","Woodruff",3717,333
"G0501490","1970","Arkansas","05","050","Yell County","149","1490","Yell",4725,636
"G0600010","1970","California","06","060","Alameda County","001","0010","Alameda",365093,14673
"G0600030","1970","California","06","060","Alpine County","003","0030","Alpine",178,343
"G0600050","1970","California","06","060","Amador County","005","0050","Amador",4024,1096
"G0600070","1970","California","06","060","Butte County","007","0070","Butte",34910,3200
"G0600090","1970","California","06","060","Calaveras County","009","0090","Calaveras",4709,2328
"G0600110","1970","California","06","060","Colusa County","011","0110","Colusa",4136,731
"G0600130","1970","California","06","060","Contra Costa County","013","0130","Contra Costa",172951,5433
"G0600150","1970","California","06","060","Del Norte County","015","0150","Del Norte",4707,634
"G0600170","1970","California","06","060","El Dorado County","017","0170","El Dorado",15031,8840
"G0600190","1970","California","06","060","Fresno County","019","0190","Fresno",126752,8868
"G0600210","1970","California","06","060","Glenn County","021","0210","Glenn",5723,576
"G0600230","1970","California","06","060","Humboldt County","023","0230","Humboldt",32383,2839
"G0600250","1970","California","06","060","Imperial County","025","0250","Imperial",21030,2371
"G0600270","1970","California","06","060","Inyo County","027","0270","Inyo",5536,599
"G0600290","1970","California","06","060","Kern County","029","0290","Kern",101650,8478
"G0600310","1970","California","06","060","Kings County","031","0310","Kings",18293,1313
"G0600330","1970","California","06","060","Lake County","033","0330","Lake",7679,4482
"G0600350","1970","California","06","060","Lassen County","035","0350","Lassen",4994,777
"G0600370","1970","California","06","060","Los Angeles County","037","0370","Los Angeles",2431981,106929
"G0600390","1970","California","06","060","Madera County","039","0390","Madera",12756,2032
"G0600410","1970","California","06","060","Marin County","041","0410","Marin",67606,3635
"G0600430","1970","California","06","060","Mariposa County","043","0430","Mariposa",2204,885
"G0600450","1970","California","06","060","Mendocino County","045","0450","Mendocino",16538,2376
"G0600470","1970","California","06","060","Merced County","047","0470","Merced",30464,2244
"G0600490","1970","California","06","060","Modoc County","049","0490","Modoc",2524,368
"G0600510","1970","California","06","060","Mono County","051","0510","Mono",1382,1700
"G0600530","1970","California","06","060","Monterey County","053","0530","Monterey",71232,5126
"G0600550","1970","California","06","060","Napa County","055","0550","Napa",25098,1740
"G0600570","1970","California","06","060","Nevada County","057","0570","Nevada",9601,2359
"G0600590","1970","California","06","060","Orange County","059","0590","Orange",436120,26683
"G0600610","1970","California","06","060","Placer County","061","0610","Placer",24557,5884
"G0600630","1970","California","06","060","Plumas County","063","0630","Plumas",4140,1876
"G0600650","1970","California","06","060","Riverside County","065","0650","Riverside",150504,19253
"G0600670","1970","California","06","060","Sacramento County","067","0670","Sacramento",202953,9294
"G0600690","1970","California","06","060","San Benito County","069","0690","San Benito",5460,465
"G0600710","1970","California","06","060","San Bernardino County","071","0710","San Bernardino",212021,39424
"G0600730","1970","California","06","060","San Diego County","073","0730","San Diego",423513,27285
"G0600750","1970","California","06","060","San Francisco County","075","0750","San Francisco",295174,15228
"G0600770","1970","California","06","060","San Joaquin County","077","0770","San Joaquin",92372,4399
"G0600790","1970","California","06","060","San Luis Obispo County","079","0790","San Luis Obispo",33926,3686
"G0600810","1970","California","06","060","San Mateo County","081","0810","San Mateo",185028,5418
"G0600830","1970","California","06","060","Santa Barbara County","083","0830","Santa Barbara",83929,4877
"G0600850","1970","California","06","060","Santa Clara County","085","0850","Santa Clara",322870,13573
"G0600870","1970","California","06","060","Santa Cruz County","087","0870","Santa Cruz",44420,7586
"G0600890","1970","California","06","060","Shasta County","089","0890","Shasta",25290,2159
"G0600910","1970","California","06","060","Sierra County","091","0910","Sierra",884,667
"G0600930","1970","California","06","060","Siskiyou County","093","0930","Siskiyou",11273,1801
"G0600950","1970","California","06","060","Solano County","095","0950","Solano",51120,2488
"G0600970","1970","California","06","060","Sonoma County","097","0970","Sonoma",67861,10199
"G0600990","1970","California","06","060","Stanislaus County","099","0990","Stanislaus",62100,3314
"G0601010","1970","California","06","060","Sutter County","101","1010","Sutter",13159,943
"G0601030","1970","California","06","060","Tehama County","103","1030","Tehama",9567,1134
"G0601050","1970","California","06","060","Trinity County","105","1050","Trinity",2608,1142
"G0601070","1970","California","06","060","Tulare County","107","1070","Tulare",56490,5414
"G0601090","1970","California","06","060","Tuolumne County","109","1090","Tuolumne",7498,3750
"G0601110","1970","California","06","060","Ventura County","111","1110","Ventura",106469,5664
"G0601130","1970","California","06","060","Yolo County","113","1130","Yolo",28316,1420
"G0601150","1970","California","06","060","Yuba County","115","1150","Yuba",13074,1128
"G0800010","1970","Colorado","08","080","Adams County","001","0010","Adams",50024,1433
"G0800030","1970","Colorado","08","080","Alamosa County","003","0030","Alamosa",3285,393
"G0800050","1970","Colorado","08","080","Arapahoe County","005","0050","Arapahoe",47529,1396
"G0800070","1970","Colorado","08","080","Archuleta County","007","0070","Archuleta",817,394
"G0800090","1970","Colorado","08","080","Baca County","009","0090","Baca",1938,324
"G0800110","1970","Colorado","08","080","Bent County","011","0110","Bent",1941,185
"G0800130","1970","Colorado","08","080","Boulder County","013","0130","Boulder",40854,3453
"G0800150","1970","Colorado","08","080","Chaffee County","015","0150","Chaffee",3176,573
"G0800170","1970","Colorado","08","080","Cheyenne County","017","0170","Cheyenne",774,125
"G0800190","1970","Colorado","08","080","Clear Creek County","019","0190","Clear Creek",1625,868
"G0800210","1970","Colorado","08","080","Conejos County","021","0210","Conejos",1980,565
"G0800230","1970","Colorado","08","080","Costilla County","023","0230","Costilla",826,288
"G0800250","1970","Colorado","08","080","Crowley County","025","0250","Crowley",1083,213
"G0800270","1970","Colorado","08","080","Custer County","027","0270","Custer",411,476
"G0800290","1970","Colorado","08","080","Delta County","029","0290","Delta",5298,888
"G0800310","1970","Colorado","08","080","Denver County","031","0310","Denver",185331,8434
"G0800330","1970","Colorado","08","080","Dolores County","033","0330","Dolores",500,243
"G0800350","1970","Colorado","08","080","Douglas County","035","0350","Douglas",2420,261
"G0800370","1970","Colorado","08","080","Eagle County","037","0370","Eagle",2302,955
"G0800390","1970","Colorado","08","080","Elbert County","039","0390","Elbert",1280,122
"G0800410","1970","Colorado","08","080","El Paso County","041","0410","El Paso",67581,6129
"G0800430","1970","Colorado","08","080","Fremont County","043","0430","Fremont",7006,615
"G0800450","1970","Colorado","08","080","Garfield County","045","0450","Garfield",4923,614
"G0800470","1970","Colorado","08","080","Gilpin County","047","0470","Gilpin",469,796
"G0800490","1970","Colorado","08","080","Grand County","049","0490","Grand",1370,1596
"G0800510","1970","Colorado","08","080","Gunnison County","051","0510","Gunnison",2215,1146
"G0800530","1970","Colorado","08","080","Hinsdale County","053","0530","Hinsdale",80,571
"G0800550","1970","Colorado","08","080","Huerfano County","055","0550","Huerfano",2205,650
"G0800570","1970","Colorado","08","080","Jackson County","057","0570","Jackson",578,267
"G0800590","1970","Colorado","08","080","Jefferson County","059","0590","Jefferson",68322,3733
"G0800610","1970","Colorado","08","080","Kiowa County","061","0610","Kiowa",686,104
"G0800630","1970","Colorado","08","080","Kit Carson County","063","0630","Kit Carson",2387,357
"G0800650","1970","Colorado","08","080","Lake County","065","0650","Lake",2443,516
"G0800670","1970","Colorado","08","080","La Plata County","067","0670","La Plata",5683,1306
"G0800690","1970","Colorado","08","080","Larimer County","069","0690","Larimer",28183,5715
"G0800710","1970","Colorado","08","080","Las Animas County","071","0710","Las Animas",5084,688
"G0800730","1970","Colorado","08","080","Lincoln County","073","0730","Lincoln",1605,272
"G0800750","1970","Colorado","08","080","Logan County","075","0750","Logan",5808,585
"G0800770","1970","Colorado","08","080","Mesa County","077","0770","Mesa",17640,1342
"G0800790","1970","Colorado","08","080","Mineral County","079","0790","Mineral",254,383
"G0800810","1970","Colorado","08","080","Moffat County","081","0810","Moffat",2095,395
"G0800830","1970","Colorado","08","080","Montezuma County","083","0830","Montezuma",3965,515
"G0800850","1970","Colorado","08","080","Montrose County","085","0850","Montrose",5612,596
"G0800870","1970","Colorado","08","080","Morgan County","087","0870","Morgan",6300,732
"G0800890","1970","Colorado","08","080","Otero County","089","0890","Otero",7277,738
"G0800910","1970","Colorado","08","080","Ouray County","091","0910","Ouray",538,261
"G0800930","1970","Colorado","08","080","Park County","093","0930","Park",757,1549
"G0800950","1970","Colorado","08","080","Phillips County","095","0950","Phillips",1471,173
"G0800970","1970","Colorado","08","080","Pitkin County","097","0970","Pitkin",2069,679
"G0800990","1970","Colorado","08","080","Prowers County","099","0990","Prowers",4151,513
"G0801010","1970","Colorado","08","080","Pueblo County","101","1010","Pueblo",35373,2263
"G0801030","1970","Colorado","08","080","Rio Blanco County","103","1030","Rio Blanco",1474,554
"G0801050","1970","Colorado","08","080","Rio Grande County","105","1050","Rio Grande",3070,642
"G0801070","1970","Colorado","08","080","Routt County","107","1070","Routt",2159,933
"G0801090","1970","Colorado","08","080","Saguache County","109","1090","Saguache",1134,480
"G0801110","1970","Colorado","08","080","San Juan County","111","1110","San Juan",262,110
"G0801130","1970","Colorado","08","080","San Miguel County","113","1130","San Miguel",630,353
"G0801150","1970","Colorado","08","080","Sedgwick County","115","1150","Sedgwick",1161,221
"G0801170","1970","Colorado","08","080","Summit County","117","1170","Summit",862,1336
"G0801190","1970","Colorado","08","080","Teller County","119","1190","Teller",1127,1063
"G0801210","1970","Colorado","08","080","Washington County","121","1210","Washington",1848,293
"G0801230","1970","Colorado","08","080","Weld County","123","1230","Weld",26664,2232
"G0801250","1970","Colorado","08","080","Yuma County","125","1250","Yuma",3013,537
"G0900010","1970","Connecticut","09","090","Fairfield County","001","0010","Fairfield",243806,10812
"G0900030","1970","Connecticut","09","090","Hartford County","003","0030","Hartford",255437,7444
"G0900050","1970","Connecticut","09","090","Litchfield County","005","0050","Litchfield",45550,5502
"G0900070","1970","Connecticut","09","090","Middlesex County","007","0070","Middlesex",34758,3556
"G0900090","1970","Connecticut","09","090","New Haven County","009","0090","New Haven",231754,11097
"G0900110","1970","Connecticut","09","090","New London County","011","0110","New London",67618,5706
"G0900130","1970","Connecticut","09","090","Tolland County","013","0130","Tolland",27902,1833
"G0900150","1970","Connecticut","09","090","Windham County","015","0150","Windham",26444,1939
"G1000010","1970","Delaware","10","100","Kent County","001","0010","Kent",23368,1874
"G1000030","1970","Delaware","10","100","New Castle County","003","0030","New Castle",115774,4930
"G1000050","1970","Delaware","10","100","Sussex County","005","0050","Sussex",25662,8625
"G1200010","1970","Florida","12","120","Alachua County","001","0010","Alachua",31115,2423
"G1200030","1970","Florida","12","120","Baker County","003","0030","Baker",2229,123
"G1200050","1970","Florida","12","120","Bay County","005","0050","Bay",23403,3575
"G1200070","1970","Florida","12","120","Bradford County","007","0070","Bradford",4058,568
"G1200090","1970","Florida","12","120","Brevard County","009","0090","Brevard",68560,9421
"G1200110","1970","Florida","12","120","Broward County","011","0110","Broward",222563,30762
"G1200130","1970","Florida","12","120","Calhoun County","013","0130","Calhoun",2393,317
"G1200150","1970","Florida","12","120","Charlotte County","015","0150","Charlotte",11668,2084
"G1200170","1970","Florida","12","120","Citrus County","017","0170","Citrus",7358,2411
"G1200190","1970","Florida","12","120","Clay County","019","0190","Clay",9396,1592
"G1200210","1970","Florida","12","120","Collier County","021","0210","Collier",13012,4568
"G1200230","1970","Florida","12","120","Columbia County","023","0230","Columbia",7669,781
"G1200250","1970","Florida","12","120","Dade County","025","0250","Dade",428026,25882
"G1200270","1970","Florida","12","120","DeSoto County","027","0270","De Soto",3761,334
"G1200290","1970","Florida","12","120","Dixie County","029","0290","Dixie",1708,176
"G1200310","1970","Florida","12","120","Duval County","031","0310","Duval",161666,12643
"G1200330","1970","Florida","12","120","Escambia County","033","0330","Escambia",60387,4754
"G1200350","1970","Florida","12","120","Flagler County","035","0350","Flagler",1488,379
"G1200370","1970","Florida","12","120","Franklin County","037","0370","Franklin",2429,980
"G1200390","1970","Florida","12","120","Gadsden County","039","0390","Gadsden",9066,1202
"G1200410","1970","Florida","12","120","Gilchrist County","041","0410","Gilchrist",1146,107
"G1200430","1970","Florida","12","120","Glades County","043","0430","Glades",1115,328
"G1200450","1970","Florida","12","120","Gulf County","045","0450","Gulf",3001,794
"G1200470","1970","Florida","12","120","Hamilton County","047","0470","Hamilton",2353,209
"G1200490","1970","Florida","12","120","Hardee County","049","0490","Hardee",4368,433
"G1200510","1970","Florida","12","120","Hendry County","051","0510","Hendry",3617,368
"G1200530","1970","Florida","12","120","Hernando County","053","0530","Hernando",6084,1692
"G1200550","1970","Florida","12","120","Highlands County","055","0550","Highlands",10468,2079
"G1200570","1970","Florida","12","120","Hillsborough County","057","0570","Hillsborough",158750,9805
"G1200590","1970","Florida","12","120","Holmes County","059","0590","Holmes",3550,532
"G1200610","1970","Florida","12","120","Indian River County","061","0610","Indian River",12325,1784
