year,GISJOIN,state,county,total,occupied,vacant,pct.vacant,crowded,pct.crowded,usa.crowded,z.crowded
1980,G1900770,IA,GUTHRIE COUNTY,5287,4572,715,0.13523737469264233,NA,NA,NA,NA
1980,G1900790,IA,HAMILTON COUNTY,7144,6623,521,0.07292833146696528,34,0.010484119642306507,NA,NA
1980,G1900810,IA,HANCOCK COUNTY,5410,5002,408,0.07541589648798522,NA,NA,NA,NA
1980,G1900830,IA,HARDIN COUNTY,8799,8161,638,0.07250823957267871,NA,NA,NA,NA
1980,G1900850,IA,HARRISON COUNTY,6357,5957,400,0.06292276230926537,NA,NA,NA,NA
1980,G1900870,IA,HENRY COUNTY,7241,6707,534,0.07374672006628918,NA,NA,NA,NA
1980,G1900890,IA,HOWARD COUNTY,4271,4012,259,0.06064153594006087,NA,NA,NA,NA
1980,G1900910,IA,HUMBOLDT COUNTY,5017,4620,397,0.07913095475383695,NA,NA,NA,NA
1980,G1900930,IA,IDA COUNTY,3634,3369,265,0.07292239955971382,3,0.003105590062111801,NA,NA
1980,G1900950,IA,IOWA COUNTY,5872,5598,274,0.04666212534059946,NA,NA,NA,NA
1980,G1900970,IA,JACKSON COUNTY,8564,7632,932,0.10882765063054647,54,0.015924506045414333,NA,NA
1980,G1900990,IA,JASPER COUNTY,14447,13564,883,0.06111995570014536,110,0.014347202295552367,NA,NA
1980,G1901010,IA,JEFFERSON COUNTY,6034,5716,318,0.052701358965860125,NA,NA,NA,NA
1980,G1901030,IA,JOHNSON COUNTY,31583,30220,1363,0.043156128296868566,405,0.01575201275718564,NA,NA
1980,G1901050,IA,JONES COUNTY,7349,6931,418,0.05687848686896176,0,NaN,NA,NaN
1980,G1901070,IA,KEOKUK COUNTY,5398,4884,514,0.09522045201926639,NA,NA,NA,NA
1980,G1901090,IA,KOSSUTH COUNTY,8243,7806,437,0.053014679121679,NA,NA,NA,NA
1980,G1901110,IA,LEE COUNTY,16684,15618,1066,0.06389355070726445,175,0.023754581240667844,NA,NA
1980,G1901130,IA,LINN COUNTY,64778,61770,3008,0.04643551823149835,1048,0.018878800979968295,NA,NA
1980,G1901150,IA,LOUISA COUNTY,4828,4218,610,0.1263463131731566,NA,NA,NA,NA
1980,G1901170,IA,LUCAS COUNTY,4503,4045,458,0.10170997113035754,NA,NA,NA,NA
1980,G1901190,IA,LYON COUNTY,4776,4488,288,0.06030150753768844,9,0.00818926296633303,NA,NA
1980,G1901210,IA,MADISON COUNTY,4967,4575,392,0.07892087779343668,25,0.019546520719311962,NA,NA
1980,G1901230,IA,MAHASKA COUNTY,9323,8611,712,0.07637026708141156,63,0.013898080741230973,NA,NA
1980,G1901250,IA,MARION COUNTY,11021,10322,699,0.06342437165411487,144,0.01743130371625711,NA,NA
1980,G1901270,IA,MARSHALL COUNTY,16338,15410,928,0.05680009793120333,111,0.014705882352941176,NA,NA
1980,G1901290,IA,MILLS COUNTY,4832,4537,295,0.06105132450331126,78,0.017191977077363897,NA,NA
1980,G1901310,IA,MITCHELL COUNTY,4735,4432,303,0.06399155227032735,NA,NA,NA,NA
1980,G1901330,IA,MONONA COUNTY,4877,4468,409,0.08386303055156859,NA,NA,NA,NA
1980,G1901350,IA,MONROE COUNTY,3822,3510,312,0.08163265306122448,NA,NA,NA,NA
1980,G1901370,IA,MONTGOMERY COUNTY,5800,5270,530,0.09137931034482759,NA,NA,NA,NA
1980,G1901390,IA,MUSCATINE COUNTY,15245,14214,1031,0.06762873073138734,386,0.034433541480820694,NA,NA
1980,G1901410,IA,O@BRIEN COUNTY,6659,6254,405,0.06081994293437453,NA,NA,NA,NA
1980,G1901430,IA,OSCEOLA COUNTY,3266,3050,216,0.06613594611145132,NA,NA,NA,NA
1980,G1901450,IA,PAGE COUNTY,8073,7317,756,0.09364548494983277,NA,NA,NA,NA
1980,G1901470,IA,PALO ALTO COUNTY,5244,4624,620,0.11823035850495804,NA,NA,NA,NA
1980,G1901490,IA,PLYMOUTH COUNTY,8860,8425,435,0.04909706546275395,16,0.028419182948490232,NA,NA
1980,G1901510,IA,POCAHONTAS COUNTY,4661,4270,391,0.08388757777301008,NA,NA,NA,NA
1980,G1901530,IA,POLK COUNTY,122136,114817,7319,0.059925001637518835,2292,0.021635908812007363,NA,NA
1980,G1901550,IA,POTTAWATTAMIE COUNTY,32419,30803,1616,0.04984731176162127,830,0.031137454981992798,NA,NA
1980,G1901570,IA,POWESHIEK COUNTY,8075,6865,1210,0.1498452012383901,33,0.01058031420327028,NA,NA
1980,G1901590,IA,RINGGOLD COUNTY,2975,2409,566,0.19025210084033614,NA,NA,NA,NA
1980,G1901610,IA,SAC COUNTY,6073,5353,720,0.11855754981063725,NA,NA,NA,NA
1980,G1901630,IA,SCOTT COUNTY,59764,56677,3087,0.051653169131918884,1187,0.025254244500234033,NA,NA
