year,hood.name,county,region,total,crowded,pct.crowded
1960,Bell Gardens,los-angeles,southeast,2049.1627254881805,447.6123972196327,0.21843672620630758
1960,Bellflower,los-angeles,southeast,2021.3274739048118,219.17394716398772,0.10843069715002006
1960,Beverly Crest,los-angeles,westside,1410.8356663946327,13.411997469633222,0.0095064207611843
1960,Beverly Grove,los-angeles,central-la,1512.1456645054743,16.72239887542183,0.011058722230236101
1960,Beverly Hills,los-angeles,westside,2123.113291694372,10.998502017948585,0.0051803651086236285
1960,Beverlywood,los-angeles,westside,1431.9465849241967,8.75840914522915,0.0061164356530050284
1960,Boyle Heights,los-angeles,eastside,1204.5420165420126,300.0784587098235,0.24912245034945799
1960,Bradbury,los-angeles,san-gabriel-valley,584.062829309774,48.758258683220724,0.08348118770174369
1960,Brea,orange,north-county,1702.4241283470626,154.70757923753484,0.09087487463405804
1960,Brentwood,los-angeles,westside,1618.7185414550192,23.52294906351403,0.014531833954511901
1960,Broadway-Manchester,los-angeles,south-la,1432.9105759827785,271.721880438812,0.18962933555881417
1960,Buena Park,orange,north-county,2292.066106701609,277.5077991788237,0.12107320917465617
1960,Burbank,los-angeles,san-fernando-valley,1704.4115568963523,102.98294945508,0.06042140998070136
1960,Calabasas,los-angeles,santa-monica-mountains,453.0043995735935,40.86953713268981,0.09021885255675158
1960,Canoga Park,los-angeles,san-fernando-valley,1652.0415122850463,143.4063197149336,0.0868055182926844
1960,Carson,los-angeles,harbor,1190.8488998583662,295.44760048022556,0.24809831080615238
1960,Carthay,los-angeles,central-la,1837.0694252351732,12.062582381633488,0.006566209320091042
1960,Castaic,los-angeles,northwest-county,471.9999999999987,87.99999999999976,0.1864406779661017
1960,Castaic Canyons,los-angeles,northwest-county,911.2351412477083,149.62789846276098,0.16420338910314966
1960,Central-Alameda,los-angeles,south-la,1233.0517587988747,221.2152530228634,0.1794046774146374
1960,Century City,los-angeles,westside,1638.1104695729646,15.00556531018412,0.009160288996929425
1960,Cerritos,los-angeles,southeast,843.4996764364965,174.3780349209409,0.20673159669441685
1960,Charter Oak,los-angeles,san-gabriel-valley,1465.8633865801003,119.59295616040171,0.08158533547891893
1960,Chatsworth,los-angeles,san-fernando-valley,1468.729498485252,141.4565130861165,0.0963121617915383
1960,Chatsworth Reservoir,los-angeles,san-fernando-valley,1664,155,0.09314903846153846
1960,Chesterfield Square,los-angeles,south-la,1738.147695425338,135.48963242325863,0.07795058658125326
1960,Cheviot Hills,los-angeles,westside,1285.9513245364412,9.05371511886692,0.007040480417974293
1960,Chinatown,los-angeles,central-la,814.5724202704478,213.83176737303236,0.2625079883038977
1960,Citrus,los-angeles,san-gabriel-valley,1041.429062736033,142.01205769989568,0.1363626796882381
1960,Claremont,los-angeles,pomona-valley,696.2709068732092,35.17588998539838,0.050520407557117564
1960,Cleveland National Forest,orange,south-county,506.8514852007363,67.60094248507652,0.13337426141368305
1960,Commerce,los-angeles,southeast,2624.8734639108766,597.6395740570495,0.2276831939801809
1960,Compton,los-angeles,southeast,1733.5736144779205,284.9289549796984,0.1643593053102086
1960,Costa Mesa,orange,beach-cities,2070.3178954072605,164.01790329335628,0.07922353550496247
1960,Coto de Caza,orange,south-county,478,60,0.12552301255230125
1960,Covina,los-angeles,san-gabriel-valley,1793.5763168352375,112.36466595893624,0.06264838853202719
1960,Cudahy,los-angeles,southeast,2303.8777481407856,346.1118975930682,0.15023014909205937
1960,Culver City,los-angeles,westside,2112.8799801513837,133.87772725179485,0.06336267488426048
1960,Cypress,orange,north-county,2376.0704638967286,381.8379999249562,0.16070146307813876
1960,Cypress Park,los-angeles,northeast-la,1656.9860127044178,253.25314356648792,0.1528396387324632
1960,Dana Point,orange,beach-cities,1346.030056524425,84.12014733580946,0.062494999222391455
1960,Del Aire,los-angeles,south-bay,2276.3381229881206,286.22673639059104,0.12573999156806492
1960,Del Rey,los-angeles,westside,1181.149415444607,208.32470338593055,0.17637455571826463
1960,Desert View Highlands,los-angeles,antelope-valley,1065.9442351300813,141.32792492962628,0.13258472654751913
1960,Diamond Bar,los-angeles,san-gabriel-valley,148.80811331850288,28.89108752126388,0.19414994839311325
